roll_number,legal,address,land_area,land_area_unit,subdivision,zoning,market_land_site_area,market_land_site_area_unit,year_of_assessment,assessment_value,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
28600,VIIIB 1 36,10007 - 104 STREET,4,Acres,Town of Morinville,Single Detached Residential,4,Acres,2014,"211,650",10007,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.802338,-113.652506
28700,VIIIB 1 37,10009 - 104 STREET,4,Acres,Town of Morinville,Single Detached Residential,4,Acres,2014,"170,280",10009,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.802477,-113.652506
28800,VIIIB 1 38,10011 - 104 STREET,4,Acres,Town of Morinville,Single Detached Residential,4,Acres,2014,"179,220",10011,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.8026093,-113.6526973
28900,"VIIIB 1 39,40",10013 - 104 STREET,8,Acres,Town of Morinville,Single Detached Residential,8,Acres,2014,"149,670",10013,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.802774,-113.652488
2900,7731R 2 15,10108 - 102 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"242,280",10108,102 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A7,53.8048335,-113.6490982
29100,VIIIB 1 41,10017 - 104 STREET,4,Acres,Town of Morinville,Single Detached Residential,4,Acres,2014,"153,920",10017,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.8030129,-113.6526654
29200,VIIIB 1 42,10019 - 104 STREET,4,Acres,Town of Morinville,Single Detached Residential,4,Acres,2014,"215,870",10019,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.8031579,-113.6526775
29300,VIIIB 1 43,10021 - 104 STREET,4,Acres,Town of Morinville,Single Detached Residential,4,Acres,2014,"241,070",10021,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.803326,-113.652479
29400,VIIIB 1 44,10023 - 104 STREET,4,Acres,Town of Morinville,Single Detached Residential,4,Acres,2014,"173,970",10023,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.8034618,-113.6526354
29500,946Q 4 1,10401 - 101 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"262,780",10401,101 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.8034752,-113.6532397
29600,946Q 4 2,10022 - 104 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"283,170",10022,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.803305,-113.653273
29700,946Q 4 3,10020 - 104 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"188,170",10020,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.8031889,-113.6532369
29800,946Q 4 4,10018 - 104 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"259,690",10018,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.803038,-113.65327
29900,946Q 4 5,10016 - 104 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"272,410",10016,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.802899,-113.653276
300,7731R 1 3,10117 - 102 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"203,040",10117,102 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A7,53.804395,-113.650121
3000,7731R 2 16,10110 - 102 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"204,880",10110,102 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A7,53.8048281,-113.649267
30000,946Q 4 6,10014 - 104 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"278,820",10014,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.8028388,-113.6531758
300000,9722970 18 15,8809 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"295,210",8809,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.801618,-113.625575
300100,9722970 18 16,8807 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"328,420",8807,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.801718,-113.625423
300200,9722970 18 17,8805 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"337,900",8805,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.801794,-113.625284
300300,9722970 18 18,8803 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"301,480",8803,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8019442,-113.625358
300400,9722970 18 19,8709 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"317,660",8709,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.801964,-113.625014
300500,9722970 18 20,8707 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"306,740",8707,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.802033,-113.624877
300600,9722970 18 21,8705 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"311,860",8705,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.802127,-113.624756
300700,9722970 18 22,8703 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"313,650",8703,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8022514,-113.624842
300800,9722970 20 22,8810 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"361,440",8810,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.801945,-113.626135
300900,9722970 20 23,8808 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"357,720",8808,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.802045,-113.62599
30100,7621617 4 24,10012 - 104 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"254,370",10012,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.8026289,-113.6532171
301000,9722970 20 24,8806 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"332,050",8806,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.802142,-113.625838
301100,9722970 20 25,8804 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"348,520",8804,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8020126,-113.6256076
301200,9722970 20 26,8710 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"348,030",8710,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8022513,-113.6255771
301300,9722970 20 27,8708 - 99 AVE.,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"315,290",8708,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.802388,-113.625417
301400,9722970 20 28,8706 - 99 AVE.,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"350,130",8706,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.802467,-113.625268
301500,9722970 20 29,8704 - 99 AVE.,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"328,790",8704,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8024137,-113.6249343
301600,9722970 20 30,8618 - 99 AVE.,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"328,570",8618,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8024885,-113.6248091
301700,9722970 20 31,8616 - 99 AVE.,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"354,440",8616,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.80255,-113.6247069
301800,9722970 20 32,8614 - 99 AVE.,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"323,600",8614,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8027304,-113.6248097
301900,9722970 20 33,8612 - 99 AVE.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"356,840",8612,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8027889,-113.6246503
30200,7621617 4 25,10010 - 104 STREET,7,Acres,Town of Morinville,Single Detached Residential,7,Acres,2014,"241,140",10010,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.802489,-113.653282
302000,9722970 20 34,8608 - 99 AVE.,7,Acres,Town of Morinville,Single Det Compact Residential,7,Acres,2014,"384,750",8608,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8029857,-113.6243309
302100,9722970 20 35,8606 - 99 AVE.,8,Acres,Town of Morinville,Single Det Compact Residential,8,Acres,2014,"357,020",8606,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.803191,-113.624096
302200,9722970 20 36,8604 - 99 AVE.,7,Acres,Town of Morinville,Single Det Compact Residential,7,Acres,2014,"321,890",8604,99 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8028752,-113.6241666
302300,9722970 20 37,9853 - 86 ST.,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"336,340",9853,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8031393,-113.6236619
302400,9722970 20 38,9851 - 86 ST.,6,Acres,Town of Morinville,Single Det Compact Residential,6,Acres,2014,"389,570",9851,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.80324,-113.623247
302500,9722970 20 39,9849 - 86 ST.,6,Acres,Town of Morinville,Single Det Compact Residential,6,Acres,2014,"364,800",9849,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8030718,-113.6232504
302600,9722970 20 44MR,,1,Acres,Town of Morinville,Single Det Compact Residential,1,Acres,2014,"75,030",,,,,,,,,
302700,9722970 20 40,9847 - 86 STREET,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"346,560",9847,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.803091,-113.622835
302800,9722970 20 41,9845 - 86 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"323,800",9845,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8029453,-113.6229127
302900,9722970 20 42,9843 - 86 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"326,840",9843,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8028604,-113.6227892
30300,"946Q 4 9,10",10008 - 104 STREET,13,Acres,Town of Morinville,General Commercial,13,Acres,2014,"289,290",10008,104 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.802338,-113.653282
303000,9722970 20 43,9841 - 86 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"343,100",9841,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.802864,-113.62241
303100,9722970 21 1,9817 - 87 STREET,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"337,460",9817,87 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1V2,53.8018976,-113.6236836
303200,9722970 21 2,9845 - 87 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"301,900",9845,87 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8023904,-113.6243483
303300,9722970 22 1,9846 - 86 STREET,8,Acres,Town of Morinville,Single Det Compact Residential,8,Acres,2014,"341,830",9846,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8026477,-113.6231297
303400,9722970 22 2,9844 - 86 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"353,820",9844,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.802755,-113.623414
303500,9722970 22 3,9842 - 86 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"343,590",9842,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8027153,-113.6232441
303600,9722970 22 4,9840 - 86 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"354,430",9840,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.8026496,-113.6231286
303700,9722970 22 5,9838 - 86 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"387,350",9838,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.802533,-113.622974
303800,9722970 22 6,9836 - 86 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"352,590",9836,86 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S8,53.802458,-113.622841
30500,946Q 4 11,10406 - 100 AVENUE,10,Acres,Town of Morinville,General Commercial,10,Acres,2014,"695,150",10406,100 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.802038,-113.653148
30700,"946Q 4 12,13",10410 - 100 AVENUE,11,Acres,Town of Morinville,General Commercial,11,Acres,2014,"266,890",10410,100 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A2,53.8019645,-113.6540542
30800,946Q 4 14,10412 - 100 AVENUE,6,Acres,Town of Morinville,General Commercial,6,Acres,2014,"120,540",10412,100 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A2,53.802001,-113.6543063
30900,946Q 4 15,10007 - 105 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"195,560",10007,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.8023842,-113.6542661
3100,7731R 2 17,10112 - 102 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"187,860",10112,102 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A7,53.804922,-113.649405
31000,946Q 4 16,10009 - 105 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"199,210",10009,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.802517,-113.654021
31100,946Q 4 17,10011 - 105 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"194,240",10011,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.8026609,-113.6542781
31200,946Q 4 18,10013 - 105 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"241,710",10013,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.8027802,-113.6542415
31300,946Q 4 19,10015 - 105 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"216,740",10015,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.802929,-113.653994
31400,946Q 4 20,10017 - 105 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"255,670",10017,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.8030478,-113.6542256
31500,946Q 4 21,10411 - 101 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"278,810",10411,101 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.803305,-113.654203
31600,946Q 4 22,10409 - 101 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"170,330",10409,101 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.8034373,-113.6539955
31700,946Q 4 23,10407 - 101 AVENUE,4,Acres,Town of Morinville,Single Detached Residential,4,Acres,2014,"156,920",10407,101 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A5,53.8034472,-113.6537572
31800,2393TR 5 1B,10022 - 105 STREET,4,Acres,Town of Morinville,Single Detached Residential,4,Acres,2014,"195,140",10022,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.803465,-113.654931
31900,2393TR 5 1C,10020 - 105 STREET,4,Acres,Town of Morinville,Single Detached Residential,4,Acres,2014,"212,550",10020,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.8033703,-113.6548131
3200,7731R 2 18,10114 - 102 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"317,070",10114,102 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A7,53.8048125,-113.649811
32000,5888NY 5 2A,10018 - 105 STREET,8,Acres,Town of Morinville,Single Detached Residential,8,Acres,2014,"302,610",10018,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.8032083,-113.6548185
32100,5888NY 5 3A,10016 - 105 STREET,9,Acres,Town of Morinville,Single Detached Residential,9,Acres,2014,"286,630",10016,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.8030737,-113.654847
32200,5888NY 5 4A,10014 - 105 STREET,8,Acres,Town of Morinville,Single Detached Residential,8,Acres,2014,"245,860",10014,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.802871,-113.654937
32300,5888NY 5 5A,10012 - 105 STREET,9,Acres,Town of Morinville,Single Detached Residential,9,Acres,2014,"226,460",10012,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.802699,-113.654927
32400,946Q 5 8,10010 - 105 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"228,660",10010,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.802526,-113.654924
32500,946Q 5 9,10008 - 105 STREET,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"278,810",10008,105 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.802377,-113.654915
32600,946Q 5 10,10502 - 100 AVENUE,6,Acres,Town of Morinville,General Commercial,6,Acres,2014,"175,460",10502,100 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.80212,-113.654715
32700,"946Q 5 11,12",10504 - 100 AVENUE,11,Acres,Town of Morinville,General Commercial,11,Acres,2014,"305,940",10504,100 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A4,53.802132,-113.654943
32900,946Q 5 13-15,10512 - 100 AVENUE,18,Acres,Town of Morinville,General Commercial,18,Acres,2014,"708,140",10512,100 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A2,53.802171,-113.6556838
3300,7731R 2 19,10116 - 102 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"205,220",10116,102 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A7,53.804928,-113.649869
33200,0020473 5 16B,10007 - 106 STREET,3,Acres,Town of Morinville,Two Unit Residential,3,Acres,2014,"226,530",10007,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.802429,-113.655612
33300,0523109 5 17B,10009B - 106 STREET,3,Acres,Town of Morinville,Two Unit Residential,3,Acres,2014,"244,730",10009,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.8024973,-113.6558688
33400,0523110 5 18B,10011B - 106 STREET,4,Acres,Town of Morinville,Two Unit Residential,4,Acres,2014,"253,120",10011,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.8027252,-113.6559197
33500,0324170 5 19B,10013A - 106 STREET,4,Acres,Town of Morinville,Two Unit Residential,4,Acres,2014,"311,300",10013,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.8028437,-113.6558673
33501,0324170 5 19C,10013B - 106 STREET,4,Acres,Town of Morinville,Two Unit Residential,4,Acres,2014,"311,450",10013,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.8028437,-113.6558673
33600,9624481 5 20B,10015B - 106 STREET,4,Acres,Town of Morinville,Two Unit Residential,4,Acres,2014,"267,260",10015,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.8030508,-113.6558939
33700,9624481 5 20C,10015A - 106 STREET,4,Acres,Town of Morinville,Two Unit Residential,4,Acres,2014,"314,920",10015,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.8030508,-113.6558939
33800,9120766 5 21D,10017 - 106 STREET,4,Acres,Town of Morinville,Medium Density Residential,4,Acres,2014,"250,360",10017,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.803253,-113.655752
33900,9120766 5 21E,10021 - 106 STREET,4,Acres,Town of Morinville,Medium Density Residential,4,Acres,2014,"277,000",10021,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.803429,-113.65574
3400,7731R 2 20,10118 - 102 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"251,230",10118,102 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A7,53.804928,-113.650093
34000,9120766 5 21F,10023 - 106 STREET,4,Acres,Town of Morinville,Medium Density Residential,4,Acres,2014,"254,110",10023,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.803435,-113.655434
34100,9120766 5 21C,10019 - 106 STREET,4,Acres,Town of Morinville,Medium Density Residential,4,Acres,2014,"243,850",10019,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.803241,-113.655418
34506,9523938 UNIT 10,10016 - 106 STREET,15,Acres,Town of Morinville,Medium Density Residential,,Acres,2014,"283,780",10016,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.802917,-113.656467
34507,9523938 UNIT 9,10018 - 106 STREET,15,Acres,Town of Morinville,Medium Density Residential,,Acres,2014,"284,380",10018,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.803138,-113.656458
34508,9523938 UNIT 8,10020 - 106 STREET,15,Acres,Town of Morinville,Medium Density Residential,,Acres,2014,"275,720",10020,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.8035315,-113.656191
34509,9523938 UNIT 7,10022 - 106 STREET,15,Acres,Town of Morinville,Medium Density Residential,,Acres,2014,"276,570",10022,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.8035315,-113.656191
34510,9820982 8 19,10024 - 106 STREET,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"240,900",10024,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.8035315,-113.656191
34511,9820982 8 18,10603 - 101 AVENUE,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"281,470",10603,101 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1T5,53.8034401,-113.6565999
34512,9820982 8 17,10605 - 101 AVENUE,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"303,070",10605,101 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1T5,53.8034307,-113.6566419
34513,9820982 8 16,10607 - 101 AVENUE,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"313,070",10607,101 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.803374,-113.656901
34514,9820982 8 15,10023 - 107 STREET,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"259,370",10023,107 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S9,53.8034134,-113.6572198
34515,9820982 8 14,10021 - 107 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"295,510",10021,107 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S9,53.8031503,-113.6571726
34516,9820982 8 13,10019 - 107 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"292,490",10019,107 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S9,53.803047,-113.656985
34517,9820982 8 12,10017 - 107 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"342,710",10017,107 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S9,53.802938,-113.656985
34518,9820982 8 11,10015 - 107 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"310,600",10015,107 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S9,53.802829,-113.656979
34519,9820982 8 10,10013 - 107 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"296,680",10013,107 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S9,53.802711,-113.656967
34520,9820982 8 9,10011 - 107 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"293,730",10011,107 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S9,53.802602,-113.65697
34521,9820982 8 8,10009 - 107 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"271,380",10009,107 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S9,53.802483,-113.656982
34522,9820982 8 7,10007 - 107 STREET,4,Acres,Town of Morinville,Single Det Compact Residential,4,Acres,2014,"280,730",10007,107 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1S9,53.802359,-113.656991
34523,9820982 8 3,10008 - 106 STREET,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"347,480",10008,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.802365,-113.656491
34524,9820982 8 4,10010 - 106 STREET,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"317,230",10010,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.802496,-113.656476
34526,9820982 8 5,10012 - 106 STREET,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"347,270",10012,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.802641,-113.656467
34527,9820982 8 6,10014 - 106 STREET,5,Acres,Town of Morinville,Single Det Compact Residential,5,Acres,2014,"389,990",10014,106 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1A3,53.802771,-113.656467
34550,9522958 8 2,,15,Acres,Town of Morinville,General Commercial,15,Acres,2014,"700,330",,,,,,,,,
3456,9523938 UNIT 6,,15,Acres,Town of Morinville,Medium Density Residential,,Acres,2014,200,,,,,,,,,
34560,0420228 8 3,,14,Acres,Town of Morinville,General Commercial,14,Acres,2014,"163,860",,,,,,,,,
34600,8779S 1 1-22,10008 - 107 STREET,3.82,Acres,Town of Morinville,General Commercial,3.82,Acres,2014,"5,446,110",10008,107 Street,Morinville,Alberta,Division No. 11,Canada,T8R 1L3,53.802721,-113.658212
3500,7731R 2 21,10120 - 102 AVENUE,6,Acres,Town of Morinville,Single Detached Residential,6,Acres,2014,"220,450",10120,102 Avenue,Morinville,Alberta,Division No. 11,Canada,T8R 1A7,53.8048268,-113.650393
350100,0226968 34 1,800 GRANDIN DRIVE,14,Acres,Town of Morinville,Single Det Compact Residential,14,Acres,2014,"490,990",800,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1T9,53.8075451,-113.6317545
350200,0226968 34 2,802 GRANDIN DRIVE,10,Acres,Town of Morinville,Single Det Compact Residential,10,Acres,2014,"424,540",802,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1T9,53.807808,-113.631803
350300,0226968 34 3,804 GRANDIN DRIVE,7,Acres,Town of Morinville,Single Det Compact Residential,7,Acres,2014,"440,730",804,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1T9,53.807966,-113.631785
350400,0226968 34 4,806 GRANDIN DRIVE,6,Acres,Town of Morinville,Single Det Compact Residential,6,Acres,2014,"373,150",806,Grandin Drive,Morinville,Alberta,Division No. 11,Canada,T8R 1T9,53.808027,-113.631773
