Address,PID,Property LINC,Roll Number,Tax Year,Assessment Value,Description,Legal Description,Land Use District Code,Land Use Description,subdivision,street_number,route,locality,administrative_area_level_1,administrative_area_level_2,country,postal_code,latitude,longitude
55 LINKSIDE BLVD,2059974,31252786,008250,2016,"$187,900.00",EXEMPT MUNICIPAL RESERVE/UTIL,Lot: 94PUL Block: 14 Plan: 052 4715,,,Spruce Grove,55,Linkside Boulevard,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4A6,53.567267,-113.906515
55 LONGVIEW DR,2214440,32495971,009687,2016,"$663,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 35 Block: 12 Plan: 072 5871,,,Spruce Grove,55,Longview Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R7,53.56615799999999,-113.893948
55 MADISON CRES,1378575,20546025,001997,2016,"$684,500.00",EXEMPT CEMETARY PROPERTY,Lot: Block: 5 Plan: 1422MC,,,Spruce Grove,55,Madison Crescent,Spruce Grove,Alberta,Division No. 11,Canada,,53.5372892,-113.9342204
55 MARLBORO DR,1376723,14987564,002273,2016,"$387,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 23 Block: 7 Plan: 752 1495,,,Spruce Grove,55,Marlboro Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2L5,53.552163,-113.917927
55 SPRUCE VILLAGE DR EAST,2261572,32865686,011256,2016,"$361,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 28 Block: 16 Plan: 074 0020,,,Spruce Grove,55,Spruce Village Drive East,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0H1,53.561997,-113.8754552
55 VERNON ST,2154192,31960990,009200,2016,"$292,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 46 Block: 9 Plan: 062 6115,,,Spruce Grove,55,Vernon Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B6,53.56074719999999,-113.8793086
55 WAVERLEY CRES,1377174,19150069,001788,2016,"$344,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 22 Block: 8 Plan: 3371TR,,,Spruce Grove,55,Waverley Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1N9,53.55173800000001,-113.907867
55 WEST TERRACE PL,1376369,13109715,002885,2016,"$340,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 41 Block: 6 Plan: 782 3421,,,Spruce Grove,55,West Terrace Place,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1T4,53.546947,-113.921992
55 WINCHESTER AVE,1376893,15770597,001560,2016,"$321,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 30 Block: 3 Plan: 3083TR,,,Spruce Grove,55,Winchester Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1L9,53.5552313,-113.9056852
55 WOODSIDE CRES,1379836,13536603,004298,2016,"$402,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 8 Block: 12 Plan: 902 1156,,,Spruce Grove,55,Woodside Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3E6,53.55614989999999,-113.9006518
56 320 SPRUCE RIDGE RD,2394535,33770257,011862,2016,"$223,800.00",CONDOMINIUM FAMILY RESIDENT'L,Unit: 5 Plan: 092 1385,,,Spruce Grove,320,Spruce Ridge Road,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0H5,53.55677799999999,-113.935783
56 APPLEWOOD POINT,2559044,34627919,013287,2016,"$520,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 39 Block: 26 Plan: 102 7081,,,Spruce Grove,,Applewood Point,Spruce Grove,Alberta,Division No. 11,Canada,,53.5678796,-113.9121374
56 ASPENGLEN CRES,1377128,18767343,004512,2016,"$331,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 31 Block: 15 Plan: 912 1898,,,Spruce Grove,56,Aspenglen Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3J2,53.5607903,-113.9108982
56 AUSTIN CRT,2618954,34962175,013891,2016,"$353,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 72 Block: 26 Plan: 112 4845,,,Spruce Grove,56,Austin Court,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R5,53.56725280000001,-113.9111415
56 AVERY COVE,2764876,36971050,017053,2016,"$127,700.00",VACANT RESIDENTIAL LAND,Lot: 28 Block: 27 Plan: 152 5309,,,Spruce Grove,,Spruce Tree Campground Loop,Avery,Idaho,Shoshone County,United States,83802,47.04584699999999,-115.346173
56 BELLEVILLE AVE,1379076,16576945,001137,2016,"$323,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 53 Block: 4 Plan: 5805RS,,,Spruce Grove,56,Belleville Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1J5,53.548588,-113.888919
56 BEVERLY AVE,1375777,10148377,001075,2016,"$291,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 11 Block: 3 Plan: 5805RS,,,Spruce Grove,56,Beverly Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1J1,53.549476,-113.887511
56 DEER PARK BLVD,1377616,23616865,004841,2016,"$361,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 3 Block: 5 Plan: 922 2770,,,Spruce Grove,56,Deer Park Boulevard,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3J6,53.561181,-113.928163
56 FAIRWAY DR,1378410,28494623,007098,2016,"$579,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 62 Block: 8 Plan: 002 3065,,,Spruce Grove,56,Fairway Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3K3,53.56340179999999,-113.8988104
56 GREENBURY CL,2738946,36389344,016145,2016,"$375,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 23 Block: 6 Plan: 142 4941,,,Spruce Grove,56,Greenbury Close,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A7,53.5564301,-113.863218
56 HALDEN CRES,1377882,26300863,006179,2016,"$434,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 41 Block: 3 Plan: 952 0207,,,Spruce Grove,56,Halden Crescent,Spruce Grove,Alberta,Division No. 11,Canada,,53.5606682,-113.8955446
56 HAMILTON CRT,2534532,34485798,013118,2016,"$331,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 68 Block: 8 Plan: 102 5281,,,Spruce Grove,56,Hamilton Court,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0K4,53.562744,-113.948758
56 HAMMETT GATE,2726180,36207983,015869,2016,"$88,500.00",VACANT RESIDENTIAL LAND,Lot: 3 Block: 10 Plan: 142 3012,,,Spruce Grove,56,Hammett Gate,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B1,53.5588352,-113.8909819
56 HANEY CRT,2142408,31826449,009004,2016,"$478,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 58 Block: 7 Plan: 062 4556,,,Spruce Grove,56,Haney Court,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B3,53.5593205,-113.8863303
56 HARTWICK GATE,2064314,31296320,008419,2016,"$461,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 7 Block: 5 Plan: 052 5093,,,Spruce Grove,56,Hartwick Gate,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A5,53.5597457,-113.9427583
56 HAZELWOOD LANE,2699636,35748623,014959,2016,"$349,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 18 Block: 10 Plan: 132 3221,,,Spruce Grove,,Hazelwood Lane,Spruce Grove,Alberta,Division No. 11,Canada,,53.5610799,-113.8877028
56 HUDSON COVE,2699489,35748086,014929,2016,"$327,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 6 Block: 13 Plan: 132 3212,,,Spruce Grove,,Hudson Cove,Spruce Grove,Alberta,Division No. 11,Canada,,53.5601558,-113.9524336
56 KENTON WOODS LANE,2696034,35697854,014820,2016,"$815,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 44 Block: 2 Plan: 132 2523,,,Spruce Grove,,Kenton Woods Lane,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B9,53.5648809,-113.8797069
56 LAMPLIGHT DR,2166494,32055387,009498,2016,"$557,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 34 Block: 1 Plan: 062 7193,,,Spruce Grove,56,Lamplight Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0G8,53.54823099999999,-113.937209
56 LANDON CRES,2149577,31924955,009154,2016,"$474,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 3 Block: 21 Plan: 062 5740,,,Spruce Grove,56,Landon Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0E3,53.5478359,-113.874975
56 LEYLAND WAY,2017081,30873913,007934,2016,"$364,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 98 Block: 11 Plan: 052 0033,,,Spruce Grove,56,Leyland Way,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4S2,53.546085,-113.873454
56 LINKSIDE BLVD,2059980,31252661,008212,2016,"$505,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 71 Block: 10 Plan: 052 4715,,,Spruce Grove,56,Linkside Boulevard,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4A6,53.56755,-113.9057701
56 LINKSVIEW DR,1858236,30030761,007293,2016,"$497,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 51 Block: 14 Plan: 032 4111,,,Spruce Grove,56,Linksview Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4P3,53.568748,-113.903838
56 LONGVIEW DR,2010291,30808745,007835,2016,"$607,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 41 Block: 13 Plan: 042 6508,,,Spruce Grove,56,Longview Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R7,53.56631669999999,-113.895598
56 LONGVIEW POINT,2214464,32496127,009710,2016,"$560,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 62 Block: 13 Plan: 072 5871,,,Spruce Grove,56,Longview Point,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0H4,53.5680762,-113.8936013
11 LINKSIDE PL,1377805,26231150,006049,2016,"$355,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 24 Block: 8 Plan: 942 3606,,,Spruce Grove,,,Spruce Grove,Alberta,Division No. 11,Canada,,53.566777,-113.906467
11 LINKSIDE WAY,1378544,29062825,005169,2016,"$585,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 25 Block: 10 Plan: 012 5152,,,Spruce Grove,11,Linkside Way,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4H7,53.5670782,-113.9022199
11 LINKSVIEW COVE,2059948,31252802,008225,2016,"$615,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 69 Block: 14 Plan: 052 4715,,,Spruce Grove,11,Linksview Cove,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4A6,53.568729,-113.908042
11 LINKSVIEW CRT,1012510,29498748,005492,2016,"$485,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 18 Block: 14 Plan: 022 5447,,,Spruce Grove,11,Linksview Court,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4L6,53.5680364,-113.9000764
11 LONGVIEW CL,1850660,29978483,005950,2016,"$469,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 51 Block: 9 Plan: 032 3513,,,Spruce Grove,11,Longview Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R6,53.5649838,-113.8971604
11 LONGVIEW CRES,2010317,30808456,007805,2016,"$550,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 11 Block: 12 Plan: 042 6508,,,Spruce Grove,11,Longview Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R6,53.5649838,-113.8971604
11 LONGVIEW PL,1378050,27139211,006420,2016,"$413,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 11 Block: 9 Plan: 972 2726,,,Spruce Grove,11,Longview Place,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3Y5,53.5645555,-113.9047724
11 MANOR DR,1379270,21161112,000375,2016,"$312,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 56 Block: 13 Plan: 165RS,,,Spruce Grove,11,Manor Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2G2,53.5426969,-113.890228
56 MATHIAS AVE,1376040,11665834,003630,2016,"$324,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 130 Block: 1 Plan: 812 3014,,,Spruce Grove,56,Mathias Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2S5,53.557525,-113.911
56 MCKEAN WAY,1380103,11675338,003606,2016,"$341,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 106 Block: 1 Plan: 812 3014,,,Spruce Grove,56,McKean Way,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2S1,53.555693,-113.913063
56 MEADOWLAND WAY,2706857,35859040,015155,2016,"$471,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 16 Block: 10 Plan: 132 4357,,,Spruce Grove,56,Meadowland Way,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0G7,53.5523071,-113.9312383
56 MILLGROVE DR,1376731,14987937,002201,2016,"$324,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 10 Block: 6 Plan: 752 1495,,,Spruce Grove,56,Millgrove Drive,Spruce Grove,Alberta,Division No. 11,Canada,,53.5536642,-113.9172485
56 TONEWOOD BLVD,2741972,36475756,016390,2016,"$73,900.00",VACANT RESIDENTIAL LAND,Lot: 18 Block: 3 Plan: 142 5736,,,Spruce Grove,,Tonewood Boulevard,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A7,53.5550054,-113.86851
56 VANESSA AVE,2261537,32865124,011222,2016,"$439,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 28 Block: 15 Plan: 074 0020,,,Spruce Grove,56,Vanessa Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0H1,53.562635,-113.876274
56 VIVIAN WAY,2261600,32865462,011233,2016,"$353,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 5 Block: 16 Plan: 074 0020,,,Spruce Grove,56,Vivian Way,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0H3,53.56069919999999,-113.875746
56 WELLINGTON CRES,1376502,13384904,002633,2016,"$259,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 36 Block: 2 Plan: 782 2918,,,Spruce Grove,56,Wellington Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1K2,53.5532623,-113.8985739
56 WEST TERRACE PL,1376390,13133252,002916,2016,"$309,400.00",SINGLE FAMILY RESIDENTIAL,,,,Spruce Grove,56,West Terrace Place,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1T2,53.5469439,-113.9214606
57 ASPENGLEN PL,1381124,26070474,005076,2016,"$336,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 118 Block: 15 Plan: 942 2070,,,Spruce Grove,57,Aspenglen Place,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3K1,53.5623193,-113.9137275
57 AUTUMNWOOD CRES,2764221,36947216,016949,2016,"$125,400.00",VACANT RESIDENTIAL LAND,Lot: 97 Block: 24 Plan: 152 5099,,,Spruce Grove,,,,,,,,,
57 BELLEVILLE AVE,1379046,16575575,001087,2016,"$316,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 23 Block: 3 Plan: 5805RS,,,Spruce Grove,57,Belleville Avenue,Spruce Grove,Alberta,Division No. 11,Canada,,53.5489239,-113.8887328
57 CENTURY RD,1378597,20125549,001363,2016,"$302,700.00",EXEMPT CEMETARY PROPERTY,Lot: D Block: Plan: 3TR,,,Spruce Grove,57,Century Road,Spruce Grove,Alberta,Division No. 11,Canada,,53.539199,-113.8854462
57 CREEKSIDE CL,1960764,30273502,007513,2016,"$570,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 4 Block: 20 Plan: 042 0033,,,Spruce Grove,57,Creekside Way,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4A2,53.5597607,-113.9199955
57 CREEKSIDE WAY,1378163,27578443,006549,2016,"$368,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 19 Block: 18 Plan: 982 3859,,,Spruce Grove,57,Creekside Way,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4A2,53.5597607,-113.9199955
57 FAIRWAY DR,1378430,28494821,007116,2016,"$473,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 4 Block: 11 Plan: 002 3065,,,Spruce Grove,57,Fairway Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3K3,53.56352400000001,-113.897949
57 GOEBEL DR,1380884,12685542,003146,2016,"$350,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 49 Block: 3 Plan: 792 1841,,,Spruce Grove,57,Goebel Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1Z8,53.5518194,-113.8773685
57 GREENBURY MANOR,2740462,36419794,016223,2016,"$358,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 53 Block: 1 Plan: 142 5281,,,Spruce Grove,57,Greenbury Manor,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A7,53.559811,-113.8663595
57 HANEY LANDING,2103344,31555487,008858,2016,"$266,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 10B Block: 7 Plan: 062 0614,,,Spruce Grove,57,Haney Landing,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B1,53.5586509,-113.8891309
57 HARTWICK GATE,2064301,31296552,008334,2016,"$390,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 7 Block: 3 Plan: 052 5093,,,Spruce Grove,57,Hartwick Gate,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A5,53.55952869999999,-113.9425617
57 HARTWICK LOOP,2223070,32574544,009763,2016,"$311,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 88 Block: 3 Plan: 072 6949,,,Spruce Grove,57,Hartwick Loop,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A5,53.55713470000001,-113.9449254
57 HEWITT CIRCLE,2677479,35381847,014222,2016,"$493,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 127 Block: 5 Plan: 122 3791,,,Spruce Grove,,Hewitt Circle,Spruce Grove,Alberta,,Canada,,53.5609373,-113.9488166
57 HUNTINGTON CRES,2086681,31409121,008657,2016,"$482,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 82 Block: 1 Plan: 052 6147,,,Spruce Grove,57,Huntington Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A9,53.5610887,-113.9355955
57 KENSINGTON CL,2713251,35990027,015748,2016,"$344,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 17 Block: 4 Plan: 142 0028,,,Spruce Grove,57,Kensington Close,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B9,53.5629244,-113.876713
57 LANGLEY CRES,1378245,27938216,006649,2016,"$369,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 6 Block: 16 Plan: 992 3045,,,Spruce Grove,57,Langley Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4A4,53.54527599999999,-113.880408
57 LINKSIDE BLVD,2059973,31253040,008249,2016,"$539,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 93 Block: 14 Plan: 052 4715,,,Spruce Grove,57,Linkside Boulevard,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3C5,53.5674122,-113.9062748
57 LONGVIEW DR,2214441,32495989,009688,2016,"$797,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 36 Block: 12 Plan: 072 5871,,,Spruce Grove,57,Longview Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R7,53.5663674,-113.8937498
57 MILLER AVE,1376763,14990006,002285,2016,"$373,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 5 Block: 8 Plan: 752 1495,,,Spruce Grove,57,Miller Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2P2,53.5551871,-113.9191872
57 SPRING GATE,2729495,36257897,015961,2016,"$110,700.00",VACANT RESIDENTIAL LAND,Lot: 42 Block: 11 Plan: 142 3656,,,Spruce Grove,57,Spring Gate,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4M9,53.553114,-113.9445533
57 SPRUCE VILLAGE DR EAST,2261571,32865678,011255,2016,"$322,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 27 Block: 16 Plan: 074 0020,,,Spruce Grove,57,Spruce Village Drive East,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0H1,53.5620685,-113.8754274
57 STONESHIRE CRES,1379968,10773159,004108,2016,"$395,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 17 Block: 9 Plan: 892 1650,,,Spruce Grove,57,Stoneshire Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3E2,53.55870789999999,-113.9005107
57 TONEWOOD BLVD,2741990,36475350,016349,2016,"$282,700.00",SINGLE FAMILY RESIDENTIAL,Lot: 15 Block: 2 Plan: 142 5736,,,Spruce Grove,,Tonewood Boulevard,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A7,53.5550054,-113.86851
57 VAUGHN AVE,2144699,31866007,009031,2016,"$290,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 15 Block: 5 Plan: 062 4991,,,Spruce Grove,57,Vaughn Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R9,53.5581617,-113.8812023
57 VERNON ST,2154193,31961006,009201,2016,"$300,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 47 Block: 9 Plan: 062 6115,,,Spruce Grove,57,Vernon Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0C1,53.560796,-113.879551
57 WELLINGTON CRES,1376006,11439742,002587,2016,"$258,100.00",SINGLE FAMILY RESIDENTIAL,Lot: 32 Block: 1 Plan: 782 2918,,,Spruce Grove,57,Wellington Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1K4,53.553584,-113.898505
57 WESTVIEW CRES,1377259,19350628,001497,2016,"$380,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 32 Block: 2 Plan: 3083TR,,,Spruce Grove,57,Westview Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1K9,53.554889,-113.898241
57 WINCHESTER AVE,1377255,19350016,001561,2016,"$321,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 31 Block: 3 Plan: 3083TR,,,Spruce Grove,57,Winchester Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1L9,53.5552821,-113.9054458
57 WOODHAVEN DR,1379780,19349471,001644,2016,"$362,600.00",SINGLE FAMILY RESIDENTIAL,Lot: 26 Block: 5 Plan: 3083TR,,,Spruce Grove,57,Woodhaven Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1M8,53.553489,-113.903711
58 APPLEWOOD POINT,2559045,34627927,013288,2016,"$565,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 40 Block: 26 Plan: 102 7081,,,Spruce Grove,,Applewood Point,Spruce Grove,Alberta,Division No. 11,Canada,,53.5678796,-113.9121374
58 AUSTIN CRT,2618953,34962167,013890,2016,"$372,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 71 Block: 26 Plan: 112 4845,,,Spruce Grove,58,Austin Court,Spruce Grove,Alberta,Division No. 11,Canada,T7X 4R5,53.56725280000001,-113.9111415
58 AVERY COVE,2764877,36971067,017054,2016,"$127,700.00",VACANT RESIDENTIAL LAND,Lot: 29 Block: 27 Plan: 152 5309,,,Spruce Grove,,Spruce Tree Campground Loop,Avery,Idaho,Shoshone County,United States,83802,47.04584699999999,-115.346173
58 BELLEVILLE AVE,1379051,10109643,001136,2016,"$348,500.00",SINGLE FAMILY RESIDENTIAL,Lot: 52 Block: 4 Plan: 5805RS,,,Spruce Grove,58,Belleville Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1J5,53.548587,-113.888671
58 BEVERLY AVE,1376967,16582000,001076,2016,"$339,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 12 Block: 3 Plan: 5805RS,,,Spruce Grove,58,Beverly Avenue,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1J1,53.549598,-113.887299
58 BRAMPTON ST,1376970,16582224,001279,2016,"$334,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 21 Block: 14 Plan: 5805RS,,,Spruce Grove,58,Brampton Street,Spruce Grove,Alberta,Division No. 11,Canada,T7X 1E3,53.55503299999999,-113.886104
58 DANFIELD PL,2325490,33316431,011503,2016,"$631,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 28 Block: 11 Plan: 082 5252,,,Spruce Grove,58,Danfield Place,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0E6,53.565003,-113.926816
58 FAIRWAY DR,1378411,28494631,007099,2016,"$571,000.00",SINGLE FAMILY RESIDENTIAL,Lot: 63 Block: 8 Plan: 002 3065,,,Spruce Grove,58,Fairway Drive,Spruce Grove,Alberta,Division No. 11,Canada,T7X 3K3,53.563531,-113.8988241
11 MEADOWLAND CRES,2683347,35493808,014422,2016,"$326,800.00",SINGLE FAMILY RESIDENTIAL,Lot: 32 Block: 19 Plan: 122 4974,,,Spruce Grove,11,Meadowland Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A6,53.5508539,-113.9318646
11 MEADOWLINK GATE,2740293,36429397,016294,2016,"$154,600.00",VACANT RESIDENTIAL LAND,Lot: 28 Block: 20 Plan: 142 5368,,,Spruce Grove,,,,,,,,,
11 MEADOWVIEW CRT,2619221,34963330,013960,2016,"$318,400.00",SINGLE FAMILY RESIDENTIAL,Lot: 40 Block: 17 Plan: 112 4864,,,Spruce Grove,,Meadowview Court,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A6,53.5476602,-113.9336139
58 GREYSTONE CRES,2070568,31361199,008508,2016,"$404,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 29 Block: 7 Plan: 052 5698,,,Spruce Grove,58,Greystone Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0A7,53.554922,-113.874284
58 HALDEN CRES,1377883,26300871,006180,2016,"$430,300.00",SINGLE FAMILY RESIDENTIAL,Lot: 42 Block: 3 Plan: 952 0207,,,Spruce Grove,58,Halden Crescent,Spruce Grove,Alberta,Division No. 11,Canada,T7X 2V6,53.56075,-113.895404
58 HAMMETT GATE,2726181,36207975,015868,2016,"$88,400.00",VACANT RESIDENTIAL LAND,Lot: 2 Block: 10 Plan: 142 3012,,,Spruce Grove,58,Hammett Gate,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B1,53.5588323,-113.8910754
58 HANEY CRT,2142407,31826457,009005,2016,"$451,200.00",SINGLE FAMILY RESIDENTIAL,Lot: 59 Block: 7 Plan: 062 4556,,,Spruce Grove,58,Haney Court,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B3,53.5593102,-113.8864536
58 HEATHERGLEN CL,1378506,29052230,005131,2016,"$295,900.00",SINGLE FAMILY RESIDENTIAL,Lot: 1 Block: 8 Plan: 012 4949,,,Spruce Grove,,,,,,,,,
58 HUDSON COVE,2699490,35748094,014930,2016,"$96,900.00",VACANT RESIDENTIAL LAND,Lot: 7 Block: 13 Plan: 132 3212,,,Spruce Grove,,Hudson Cove,Spruce Grove,Alberta,Division No. 11,Canada,,53.5601558,-113.9524336
58 KENSINGTON CL,2713296,35989789,015724,2016,"$128,000.00",VACANT RESIDENTIAL LAND,Lot: 30 Block: 3 Plan: 142 0028,,,Spruce Grove,58,Kensington Close,Spruce Grove,Alberta,Division No. 11,Canada,T7X 0B9,53.5637571,-113.8788189
